State,Most populous,2nd most populous,3rd most populous,4th most populous,5th most populous,Capital (if not otherwise listed),Abbreviation
Alabama,Birmingham,Montgomery,Mobile,Huntsville,Tuscaloosa,Not available,AL
Alaska,Anchorage,Fairbanks,Juneau,Sitka,Ketchikan,Not available,AK
Arizona,Phoenix,Tucson,Mesa,Chandler,Glendale,Not available,AZ
Arkansas,Little Rock,Fort Smith,Fayetteville,Springdale,Jonesboro,Not available,AR
California,Los Angeles,San Diego,San Jose,San Francisco,Fresno,Sacramento,CA
Colorado,Denver,Colorado Springs,Aurora,Fort Collins,Lakewood,Not available,CO
Connecticut,Bridgeport,New Haven,Stamford,Hartford,Waterbury,Not available,CT
Delaware,Wilmington,Dover,Newark,Milford,Seaford,Not available,DE
Florida,Jacksonville,Miami,Tampa,St. Petersburg,Orlando,Tallahassee,FL
Georgia,Atlanta,Augusta,Columbus,Savannah,Athens,Not available,GA
Hawaii,Honolulu,Hilo,Kailua,Kapolei,Kaneohe,Not available,HI
Idaho,Boise,Nampa,Meridian,Idaho Falls,Pocatello,Not available,ID
Illinois,Chicago,Aurora,Rockford,Joliet,Naperville,Springfield,IL
Indiana,Indianapolis,Fort Wayne,Evansville,South Bend,Carmel,Not available,IN
Iowa,Des Moines,Cedar Rapids,Davenport,Sioux City,Waterloo,Not available,IA
Kansas,Wichita,Overland Park,Kansas City,Topeka,Olathe,Not available,KS
Kentucky,Louisville,Lexington,Bowling Green,Owensboro,Covington,Frankfort,KY
Lousiana,New Orleans,Baton Rouge,Shreveport,Lafayette,Lake Charles,Not available,LA
Maine,Portland,Lewiston,Bangor,South Portland,Auburn,Augusta,ME
Maryland,Baltimore,Columbia,Germantown,Silver Spring,Waldorf,Annapolis,MD
Massachusetts,Boston,Worcester,Springfield,Lowell,Cambridge,Not available,MA
Michigan,Detroit,Grand Rapids,Warren,Sterling Heights,Ann Arbor,Lansing,MI
Minnesota,Minneapolis,Saint Paul,Rochester,Duluth,Bloomington,Not available,MN
Mississippi,Jackson,Gulfport,Hattiesburg,Southaven,Biloxi,Not available,MS
Missouri,Kansas City,Saint Louis,Springfield,Independence,Columbia,Jefferson City,MO
Montana,Billings,Missoula,Great Falls,Bozeman,Butte,Helena,MT
Nebraska,Omaha,Lincoln,Bellevue,Grand Island,Kearney,Not available,NE
Nevada,Las Vegas,Henderson,North Las Vegas,Reno,Sparks,Carson City,NV
New Hampshire,Manchester,Nashua,Concord,Derry,Rochester,Not available,NH
New Jersey,Newark,Jersey City,Paterson,Elizabeth,Edison,Trenton,NJ
New Mexico,Albuquerque,Las Cruces,Rio Rancho,Santa Fe,Roswell,Not available,NM
New York,New York,Buffalo,Rochester,Yonkers,Syracuse,Albany,NY
North Carolina,Charlotte,Raleigh,Greensboro,Durham,Winston-Salem,Not available,NC
North Dakota,Fargo,Bismarck,Grand Forks,Minot,West Fargo,Not available,ND
Ohio,Columbus,Cleveland,Cincinnati,Toledo,Akron,Not available,OH
Oklahoma,Oklahoma City,Tulsa,Norman,Broken Arrow,Lawton,Not available,OK
Oregon,Portland,Salem,Eugene,Gresham,Hillsboro,Not available,OR
Pennsylvania,Philadelphia,Pittsburgh,Allentown,Erie,Reading,Harrisburg,PA
Rhode Island,Providence,Warwick,Cranston,Pawtucket,East Providence,Not available,RI
South Carolina,Columbia,Charleston,North Charleston,Mount Pleasant,Rock Hill,Not available,SC
South Dakota,Sioux Falls,Rapid City,Aberdeen,Brookings,Watertown,Pierre,SD
Tennessee,Memphis,Nashville,Knoxville,Chattanooga,Clarksville,Not available,TN
Texas,Houston,San Antonio,Dallas,Austin,Fort Worth,Not available,TX
Utah,Salt Lake City,West Valley City,Provo,West Jordan,Orem,Not available,UT
Vermont,Burlington,Essex,South Burlington,Colchester,Rutland,Montpelier,VT
Virginia,Virginia Beach,Norfolk,Chesapeake,Richmond,Newport News,Not available,VA
Washington,Seattle,Spokane,Tacoma,Vancouver,Bellevue,Olympia,WA
West Virginia,Charleston,Huntington,Parkersburg,Morgantown,Wheeling,Not available,WV
Wisconsin,Milwaukee,Madison,Green Bay,Kenosha,Racine,Not available,WI
Wyoming,Cheyenne,Casper,Laramie,Gillette,Rock Springs,Not available,WY
